word,decade,n_occurrences,mean_contextual_dispersion,median_contextual_dispersion
bourgeoisie,1840,282,0.1043912544846534,0.0800225436687469
bourgeoisie,1860,134,0.1103392913937568,0.0888618230819702
bourgeoisie,1880,166,0.1061869487166404,0.0846797823905944
bourgeoisie,1900,81,0.1026506200432777,0.0793386101722717
bourgeoisie,1920,69,0.111336849629879,0.0842719078063964
industrie,1840,306,0.1237266883254051,0.1080864667892456
industrie,1860,332,0.1257699131965637,0.1068034470081329
industrie,1880,377,0.1412446200847625,0.122165560722351
industrie,1900,131,0.1192752197384834,0.1010468006134033
industrie,1920,69,0.1264580488204956,0.1009209156036377
républicain,1840,209,0.1087125390768051,0.0887492299079895
républicain,1860,194,0.102799192070961,0.0812093317508697
républicain,1880,147,0.1192987412214279,0.0900014638900756
républicain,1900,84,0.1002997681498527,0.0769588649272918
républicain,1920,26,0.1184077337384224,0.0947840213775634
