decade,number_of_documents,total_tokens,mean_tokens_per_document,median_tokens_per_document,vocabulary_size
1810,17,696509,40971.117647058825,34239.0,28107
1820,29,1547994,53379.10344827586,36527.0,43165
1830,85,4825226,56767.364705882355,47202.0,72953
1840,211,15777478,74774.77725118483,58268.0,108673
1850,157,11773589,74991.0127388535,64877.0,95830
1860,232,16628022,71672.50862068965,61635.0,115700
1870,285,20033023,70291.30877192982,64157.0,127893
1880,301,20401851,67780.23588039867,65515.0,137751
1890,201,11745395,58434.800995024874,51629.0,119222
1900,146,9172372,62824.46575342466,53674.5,100989
1910,122,8751186,71731.03278688525,61417.5,91378
1920,110,6867308,62430.07272727273,59687.0,84984
1930,60,3300703,55011.71666666667,51461.5,60624
1940,22,1111103,50504.681818181816,46332.5,38035
1950,46,2364518,51402.565217391304,50646.5,43229
1960,6,338875,56479.166666666664,48177.5,19344
