word,mean_dispersion,median_dispersion,mean_occurrences,n_decades
dirigèrent,0.036793294673164646,0.03074041008949275,142.66666666666666,6
regagna,0.037494946271181065,0.03326389193534845,168.5,8
souvint,0.03923793571690715,0.0330954492092132,219.0,6
profita,0.04035404634972408,0.03487189114093775,208.16666666666666,6
objecta,0.040933336441715505,0.0349287390708923,153.33333333333334,6
rejoignit,0.04155941680073733,0.037436693906784,196.44444444444446,9
interrompit,0.041822662577032994,0.03617835044860835,1093.5714285714287,14
tarda,0.04211851023137565,0.03807091712951655,302.75,8
contenta,0.042806146459446956,0.0347056984901428,256.55555555555554,9
hésita,0.04285244084894651,0.038011670112609794,388.3,10
